1 Level,2 Level,3 Level,4 Level,5 Level,6 Level,7 Level,8 Level,9 Level,10 Level,11 Level,12 Level,13 Level,14 Level,FoodON URI
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,multi-component plant food product,,,,,,,,,,,,,FOODON_03316579
,,plant dessert food product,,,,,,,,,,,,FOODON_00002138
,,,pudding food product,,,,,,,,,,,FOODON_00002178
,,,,blancmange powder,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03315401
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,shellfish,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411433
,,,,,crustacean,,,,,,,,,FOODON_03411374
,,,,,,decapod,,,,,,,,FOODON_03411998
,,,,,,,crawfish or crayfish,,,,,,,http://purl.obolibrary.org/obo/FOODON_03412686
,,,,,,,,southern hemisphere crayfish family,,,,,,http://purl.obolibrary.org/obo/FOODON_03414627
,,,,,,,,,cherax,,,,,http://purl.obolibrary.org/obo/FOODON_03414628
,,,,,,,,,,
food product by meal type,,,,,,,,,,,,,,FOODON_00002373
,beverage food product,,,,,,,,,,,,,FOODON_03301977
,,fermented beverage,,,,,,,,,,,,FOODON_00001094
,,,alcoholic beverage,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001579
,,,,fruit based alcoholic beverage,,,,,,,,,,FOODON_00001882
,,,,,grain based alcoholic beverage,,,,,,,,,FOODON_00001916
,,,,,,grain based distilled spirit,,,,,,,,FOODON_00001918
,,,,,,,jenever gin,,,,,,,http://purl.obolibrary.org/obo/FOODON_03315752
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,mushroom food product,,,,,,,,,,,FOODON_00002434
,,,,mushroom (whole or pieces),,,,,,,,,,FOODON_00002050
,,,,,mushroom fruitbody,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003528
,,,,,,coral tooth mushroom,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03414182
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant root vegetable food product,,,,,,,,,,,FOODON_00002150
,,,,radish food product,,,,,,,,,,FOODON_00002184
,,,,,radish,,,,,,,,,FOODON_00003431
,,,,,,daikon,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003666
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,berry food product,,,,,,,,,,FOODON_00001640
,,,,,bramble berry food product,,,,,,,,,FOODON_00003028
,,,,,,american dewberry food product,,,,,,,,FOODON_00001588
,,,,,,,dewberry,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003557
,,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,multi-component plant food product,,,,,,,,,,,,,FOODON_03316579
,,pastrami,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003884
,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,papaya food product,,,,,,,,,,FOODON_00002081
,,,,,papaya leaf food product,,,,,,,,,FOODON_00002082
,,,,,,papaya leaf,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003642
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,vegetable (whole or pieces),,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03315308
,,,,vegetable (raw),,,,,,,,,,FOODON_03302008
,,,,,bean (raw),,,,,,,,,FOODON_03301403
,,,,,,broad bean (raw),,,,,,,,FOODON_00002818
,,,,,,,broad bean (raw mature),,,,,,,http://purl.obolibrary.org/obo/FOODON_03000200
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,spice or herb,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001242
,,,caper food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001681
,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,dairy food product,,,,,,,,,,,FOODON_00001256
,,,,frozen dairy food product,,,,,,,,,,FOODON_00001879
,,,,,frozen dairy dessert,,,,,,,,,FOODON_00001878
,,,,,,frozen dairy dessert (milk-based),,,,,,,,FOODON_03311419
,,,,,,,kulfi,,,,,,,http://purl.obolibrary.org/obo/FOODON_03601030
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,botanical fruit food product,,,,,,,,,,,,FOODON_00001262
,,,legume food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001264
,,,,bean food product,,,,,,,,,,FOODON_00001635
,,,,,wax bean food product,,,,,,,,,FOODON_00002344
,,,,,,wax bean,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003011
,,,,,,,navy bean,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002685
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant root vegetable food product,,,,,,,,,,,FOODON_00002150
,,,,taro food product,,,,,,,,,,FOODON_00002310
,,,,,taro shoot,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000138
,,,,,,taro shoot (raw),,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000139
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,botanical fruit food product,,,,,,,,,,,,FOODON_00001262
,,,legume food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001264
,,,,legume,,,,,,,,,,FOODON_03310646
,,,,,fenugreek seed,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000006
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,plant seed or nut food product,,,,,,,,,,,,FOODON_03460177
,,,plant seed food product,,,,,,,,,,,FOODON_00001173
,,,,cereal grain food product,,,,,,,,,,FOODON_00001093
,,,,,triticale food product,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002552
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,spice or herb,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001242
,,,coriander food product,,,,,,,,,,,FOODON_00001763
,,,,coriander (whole or pieces),,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000222
,,,,,coriander seed (whole or pieces),,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000224
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,fish food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001248
,,,,fish (whole or pieces),,,,,,,,,,FOODON_03301077
,,,,,fish meat,,,,,,,,,FOODON_00003594
,,,,,,fish meat (raw),,,,,,,,FOODON_03301193
,,,,,,,sashimi,,,,,,,http://purl.obolibrary.org/obo/FOODON_03601054
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant seed vegetable food product,,,,,,,,,,,FOODON_00002153
,,,,lentil food product,,,,,,,,,,FOODON_00001997
,,,,,lentil,,,,,,,,,FOODON_03310641
,,,,,,pink lentil,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000115
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,crustacean food product,,,,,,,,,,FOODON_00001792
,,,,,shrimp food product,,,,,,,,,FOODON_00002239
,,,,,,shrimp paste,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03309823
,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,scrapple,,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002880
,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
